layer	regime	norm_mse	l0	l2_loss	dead_frac	pass
early	pooled	0.0013191584730520844	64.0	1.3934553861618042	0.7537841796875	False
mid	pooled	0.0026145526207983494	64.0	3.867497444152832	0.734619140625	False
late	pooled	0.006859230808913708	64.0	147.1220703125	0.4144287109375	False
