Motif Name	Consensus	P-value	Log P-value	q-value (Benjamini)	Num Target	Pct Target	Num Background	Pct Background
AP-2	N	4.2450e-02	-1.372	4.2450e-02	50	25.00%	100	10.00%
Egr-1	N	4.2450e-02	-1.372	4.2450e-02	50	25.00%	100	10.00%
BTEB3	N	4.2870e-02	-1.368	4.2870e-02	50	25.00%	100	10.00%
SP4	N	4.4350e-02	-1.353	4.4350e-02	50	25.00%	100	10.00%
Zic1	N	4.4350e-02	-1.353	4.4350e-02	50	25.00%	100	10.00%
P53	N	4.4350e-02	-1.353	4.4350e-02	50	25.00%	100	10.00%
BTEB4	N	4.4350e-02	-1.353	4.4350e-02	50	25.00%	100	10.00%
HDAC1	N	4.4350e-02	-1.353	4.4350e-02	50	25.00%	100	10.00%
HSF4	N	4.4350e-02	-1.353	4.4350e-02	50	25.00%	100	10.00%
Sp1	N	4.4350e-02	-1.353	4.4350e-02	50	25.00%	100	10.00%
Sp6	N	4.4350e-02	-1.353	4.4350e-02	50	25.00%	100	10.00%
Egr-1	N	4.4350e-02	-1.353	4.4350e-02	50	25.00%	100	10.00%
CPBP	N	4.4350e-02	-1.353	4.4350e-02	50	25.00%	100	10.00%
FOXO1	N	4.4350e-02	-1.353	4.4350e-02	50	25.00%	100	10.00%
EGR1	N	4.4350e-02	-1.353	4.4350e-02	50	25.00%	100	10.00%
MLLT10	N	4.4350e-02	-1.353	4.4350e-02	50	25.00%	100	10.00%
Sp2	N	4.4350e-02	-1.353	4.4350e-02	50	25.00%	100	10.00%
RXR-alpha	N	4.4900e-02	-1.348	4.4900e-02	50	25.00%	100	10.00%
c-Myc	N	4.7610e-02	-1.322	4.7610e-02	50	25.00%	100	10.00%
Sp1	N	4.8770e-02	-1.312	4.8770e-02	50	25.00%	100	10.00%
